restaurant_id,restaurant_name,manager_user_id,display_name,email
3b949de4-e6f5-5404-878d-827ff5c1d5d0,"Itaewon Pocha",093ec636-d3c0-439b-b39b-7306157ed311,"Timothy Hernandez",managers@itaewon-pocha.com
20fc669c-425b-584d-8a13-827eb9fa70ed,"Carlo's Bakery",5a4a5d35-03e7-47ef-b071-e3202e189324,"Jennifer Green",managers@carlos-bakery.com
e665a439-233f-51dc-b965-277509d98ffb,"Dunkin'",704e202e-8bd3-4ed7-b4cf-f4f3ac2371b6,"Emily Kelly",managers@dunkin.com
3f8f5ccd-65a7-54bc-b2ba-0ee5c2e72436,"Hana Michi",98b04ff9-dcdb-4aef-a977-6d32149ecb40,"Maria Lopez",managers@hana-michi.com
8bd71bfb-b6f2-522b-9156-b216bcc597a7,"Jeong Yuk Jeom Korean BBQ NYC",50dd9760-3107-472c-b375-e94fa763fcf3,"Daniel Phillips",managers@jeong-yuk-jeom-korean-bbq-nyc.com
9a707d2f-1722-59ba-89b3-49076b8e8a5e,"The Library",75bf624d-93db-402c-bc7a-514925d78aba,"Nicole White",managers@the-library.com
1927e609-3c1c-53e8-a32f-de46fcab57e6,"The Edison Ballroom",ef4dbcbf-c4b8-4da4-8ceb-048e8dcd0573,"David Kelly",managers@the-edison-ballroom.com
74309b9f-874a-58ff-b2c4-869d57cadaf4,"Starbucks Coffee Company",1607a69b-60ed-4809-ad38-5c9150e70591,"Raymond Flores",managers@starbucks-coffee-company.com
242b5e87-083f-5986-a31d-78214f3d1bf6,"Maruzzella",43a8887c-7a93-4d86-afb4-1a75e02393e6,"Cynthia Turner",managers@maruzzella.com
8949341b-3e5d-566a-9391-f9ae0a57e627,"Franchia Vegan Café",5d121e76-4cce-4aaa-845c-ec2cfde05df7,"Rachel Cook",managers@franchia-vegan-caf.com
fc807699-37fa-5e7f-be70-dc35876b60c1,"SHADE BAR Crepes",31573a3a-9baf-4a55-9a9a-09fe9ae2c685,"Kathleen Hill",managers@shade-bar-crepes.com
964bb234-23f0-5bad-a2fd-f6cb77c240c8,"Tile Bar",f9f1a10b-4a0d-4fd4-9449-0b1a749ef4c9,"Sharon Peterson",managers@tile-bar.com
300693ee-bca2-5b27-8e9c-6c2670d1f698,"Space Karaoke Bar & Lounge | Koreatown NYC",921909b9-15f0-416c-b536-d5e6300824a3,"Robert Phillips",managers@space-karaoke-bar-lounge-koreatown-nyc.com
f8d42b09-c9e3-520d-92e1-e7ad8ac5dddb,"Rowdy Rooster - Penn",c8063959-3882-426e-87c5-400a39d93f0c,"Jack Parker",managers@rowdy-rooster-penn.com
913dbb11-a930-58d3-b296-97ebb54d1929,"Starbucks Coffee Company",ea4fac68-1be1-4a46-9f75-937506c250a8,"Nancy Rogers",managers@starbucks-coffee-company-2.com
f7158c9d-832a-5ca0-9d9d-66e3013c438f,"Blondies Sports",a914253d-1db6-4146-8af9-6760dafe71ae,"John Young",managers@blondies-sports.com
2600a819-6d00-511a-b7bd-dbc7aa5da964,"Annapurna Bhavan",74191b88-b1f8-4e3a-b09a-93dca3fb6a46,"Barbara Cruz",managers@annapurna-bhavan.com
4076baa1-7284-5fe3-a46a-9dc2aef96816,"iPizzaNY- Times Square",e486b076-287b-49bb-91e6-1a403562ceb9,"Amanda Ross",managers@ipizzany-times-square.com
